NC_026434.1 Influenza A virus (A/California/07/2009(H1N1)) segment 6 neuraminidase (NA) gene, complete cds	Flu A (CAL(H1N1)) segment 6
NC_026435.1 Influenza A virus (A/California/07/2009(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and nonfunctional PB1-F2 protein (PB1-F2) gene, complete sequence	Flu A (CAL(H1N1)) segment 2
NC_026436.1 Influenza A virus (A/California/07/2009(H1N1)) segment 5 nucleocapsid protein (NP) gene, complete cds	Flu A (CAL(H1N1)) segment 5
NC_026437.1 Influenza A virus (A/California/07/2009(H1N1)) segment 3 polymerase PA (PA) gene, complete cds	Flu A (CAL(H1N1)) segment 3
NC_026438.1 Influenza A virus (A/California/07/2009(H1N1)) segment 1 polymerase PB2 (PB2) gene, complete cds	Flu A (CAL(H1N1)) segment 1
NC_028752.1 Camel alphacoronavirus isolate camel/Riyadh/Ry141/2015, complete genome	Camel alphacoronavirus isolate Riyadh
NC_031032.1 Bacillus phage Stitch, complete genome	Bacillus phage Stitch
NC_038425.1 Non-primate hepacivirus NZP1 polyprotein (POLY) gene, complete cds	Non-primate hepacivirus NZP1 gene
NC_038828.1 Heterobasidion RNA virus 1 isolate HetRV1-ab1 putative coat protein gene, complete cds	Heterobasidion RNA virus 1
NC_041925.1 UNVERIFIED: Proteus phage VB_PmiS-Isfahan, complete genome	Proteus phage VB_PmiS-Isfahan
NC_045512.2 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome	SARS-CoV2 Wuhan-Hu-1
NC_049342.1 Escherichia phage 500465-1, complete genome	Escherichia phage 500465-1
NC_074405.1 SsRNA phage SRR5466337_3 genomic sequence	SsRNA phage SRR5466337_3
NC_074583.1 SsRNA phage SRR5466369_2 genomic sequence	SsRNA phage SRR5466369_2
